Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2026-01-30 17:09:20,0,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,557257,877116,433007,1868550,454874
2026-01-30 17:09:20,1,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,405973,581841,0,987964,243039
2026-01-30 17:09:20,2,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,423532,583210,0,1006971,75435
2026-01-30 17:09:20,3,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,399058,582248,0,981423,74568
2026-01-30 17:09:20,4,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,409810,581545,0,991526,71270
2026-01-30 17:09:20,5,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,404446,582182,0,987948,72061
2026-01-30 17:09:20,6,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,426182,584204,0,1010527,70707
2026-01-30 17:09:20,7,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,404784,581270,0,986263,72576
2026-01-30 17:09:20,8,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,400731,582174,0,983077,71537
2026-01-30 17:09:20,9,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,403064,580141,0,983379,71503
2026-01-30 17:09:20,10,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,414773,577199,0,992195,70081
2026-01-30 17:09:20,11,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,396152,577877,0,974448,70219
2026-01-30 17:09:20,12,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,424885,582065,0,1007214,70042
2026-01-30 17:09:20,13,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,393610,581680,0,975427,70237
2026-01-30 17:09:20,14,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,415563,574493,0,990335,70168
2026-01-30 17:09:20,15,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,432682,583568,0,1016603,68664
2026-01-30 17:09:20,16,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,387791,573885,0,961809,68898
2026-01-30 17:09:20,17,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,414260,594328,0,1008814,71699
2026-01-30 17:09:20,18,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,401939,579454,0,981576,69867
2026-01-30 17:09:20,19,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,407908,618911,0,1027043,70684
2026-01-30 17:09:20,20,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,408830,587155,0,996163,70190
2026-01-30 17:09:20,21,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,394567,597948,0,992711,69579
2026-01-30 17:09:20,22,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,405989,583394,0,989508,72123
2026-01-30 17:09:20,23,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,411865,598134,0,1010258,69778
2026-01-30 17:09:20,24,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,410115,579544,0,989835,69489
2026-01-30 17:09:20,25,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,408997,576467,0,985686,69513
2026-01-30 17:09:20,26,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,381932,579853,0,961958,68561
2026-01-30 17:09:20,27,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,404379,581257,0,985779,68553
