Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2026-01-30 17:09:01,0,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,951729,806063,2150355,3909625,410687
2026-01-30 17:09:01,1,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,586058,550575,0,1136898,227980
2026-01-30 17:09:01,2,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,582136,550946,0,1134625,71773
2026-01-30 17:09:01,3,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,586948,592079,0,1179247,71099
2026-01-30 17:09:01,4,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,579909,543852,0,1123940,71666
2026-01-30 17:09:01,5,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,564733,603544,0,1168438,70345
2026-01-30 17:09:01,6,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,566360,548848,0,1115718,70297
2026-01-30 17:09:01,7,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,563327,550775,0,1114332,69146
2026-01-30 17:09:01,8,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,570218,546119,0,1116584,71707
2026-01-30 17:09:01,9,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,589271,547133,0,1136569,71129
2026-01-30 17:09:01,10,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,535983,548807,0,1086872,70056
2026-01-30 17:09:01,11,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,568697,545997,0,1114870,70118
2026-01-30 17:09:01,12,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,552743,549283,0,1102330,71149
2026-01-30 17:09:01,13,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,566445,546875,0,1113434,78346
2026-01-30 17:09:02,14,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,577668,545952,0,1123757,70486
2026-01-30 17:09:02,15,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,569386,548386,0,1117939,71948
2026-01-30 17:09:02,16,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,545190,549086,0,1094474,70577
2026-01-30 17:09:02,17,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,535383,547716,0,1085542,68967
2026-01-30 17:09:02,18,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,551981,548061,0,1101815,70665
2026-01-30 17:09:02,19,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,552413,549358,0,1102885,68789
2026-01-30 17:09:02,20,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,528247,542778,0,1072514,71982
2026-01-30 17:09:02,21,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,544147,550801,0,1095126,70288
2026-01-30 17:09:02,22,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,546853,547038,0,1094092,68889
2026-01-30 17:09:02,23,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,562450,550575,0,1113215,71192
2026-01-30 17:09:02,24,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,534444,556393,0,1091039,69836
2026-01-30 17:09:02,25,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,543309,547733,0,1091200,69827
2026-01-30 17:09:02,26,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,560822,557167,0,1119282,70497
2026-01-30 17:09:02,27,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,571971,546121,0,1119561,70472
2026-01-30 17:09:02,28,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,551443,559603,0,1111244,69866
2026-01-30 17:09:02,29,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542324,546342,0,1088927,70386
2026-01-30 17:09:02,30,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,545346,561784,0,1107524,69273
2026-01-30 17:09:02,31,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,560281,544634,0,1105090,70126
2026-01-30 17:09:02,32,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,558861,549871,0,1108900,69563
2026-01-30 17:09:02,33,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,534644,546752,0,1081542,69075
2026-01-30 17:09:02,34,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,564182,546970,0,1112642,70811
2026-01-30 17:09:02,35,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,546268,547925,0,1094355,68561
2026-01-30 17:09:02,36,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,570996,550238,0,1121469,69955
2026-01-30 17:09:02,37,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,550170,548962,0,1100987,69649
2026-01-30 17:09:02,38,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,572506,549778,0,1123482,69017
2026-01-30 17:09:02,39,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,544893,553069,0,1098460,69287
2026-01-30 17:09:02,40,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,546932,550044,0,1097127,68146
2026-01-30 17:09:02,41,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,569270,547164,0,1116599,70683
2026-01-30 17:09:02,42,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,557199,544492,0,1104511,69539
2026-01-30 17:09:02,43,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,565831,550083,0,1117199,70412
2026-01-30 17:09:02,44,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,534658,548258,0,1083046,70952
2026-01-30 17:09:02,45,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,544242,550246,0,1094636,71113
2026-01-30 17:09:02,46,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,555470,550355,0,1107123,70937
2026-01-30 17:09:02,47,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,561639,546029,0,1109581,67424
2026-01-30 17:09:02,48,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,546989,544597,0,1093162,69561
2026-01-30 17:09:02,49,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542272,547891,0,1090428,67483
2026-01-30 17:09:02,50,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,561549,545573,0,1108724,69780
2026-01-30 17:09:02,51,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,544024,543520,0,1088433,71369
2026-01-30 17:09:02,52,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542586,550537,0,1093259,70460
2026-01-30 17:09:02,53,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,538049,549193,0,1087496,71066
2026-01-30 17:09:02,54,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,555877,546364,0,1102416,71039
2026-01-30 17:09:02,55,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,536327,559096,0,1095570,69910
2026-01-30 17:09:02,56,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,552280,546741,0,1099217,69699
2026-01-30 17:09:02,57,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,552592,557038,0,1110389,70354
2026-01-30 17:09:02,58,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,554736,552065,0,1106957,69947
2026-01-30 17:09:02,59,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,537537,552851,0,1090558,71479
2026-01-30 17:09:02,60,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,536881,551884,0,1088898,69694
2026-01-30 17:09:02,61,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,539746,544954,2199926,3286302,70582
2026-01-30 17:09:02,62,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,520898,548089,0,1069218,90300
2026-01-30 17:09:02,63,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,559941,547502,0,1107653,69632
2026-01-30 17:09:02,64,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,525336,550219,0,1075666,70121
2026-01-30 17:09:02,65,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542129,546639,0,1088909,68939
2026-01-30 17:09:02,66,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,496539,549432,0,1046076,69748
2026-01-30 17:09:02,67,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,540196,545892,0,1087981,69350
2026-01-30 17:09:02,68,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542084,546600,0,1089372,70718
2026-01-30 17:09:02,69,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,533408,544444,0,1078008,69455
2026-01-30 17:09:02,70,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,545316,550774,0,1096225,70107
2026-01-30 17:09:02,71,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,532252,546045,0,1078432,70634
2026-01-30 17:09:02,72,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,512994,552598,0,1065737,69632
2026-01-30 17:09:02,73,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,538295,559829,0,1098434,70160
2026-01-30 17:09:02,74,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,519151,548213,0,1067519,70275
2026-01-30 17:09:02,75,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,520899,560443,0,1081757,68995
2026-01-30 17:09:02,76,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,530259,549161,0,1079554,71296
2026-01-30 17:09:02,77,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,522390,561691,0,1084238,68832
2026-01-30 17:09:02,78,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,542540,548938,0,1092242,69887
2026-01-30 17:09:02,79,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,525939,558443,0,1084526,69633
2026-01-30 17:09:02,80,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,527229,550682,0,1078110,69569
2026-01-30 17:09:02,81,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,539123,553093,0,1092364,69264
2026-01-30 17:09:02,82,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,516978,548866,0,1065982,67785
2026-01-30 17:09:02,83,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,522258,563493,0,1085904,70503
2026-01-30 17:09:02,84,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,519355,548004,0,1067502,68590
2026-01-30 17:09:02,85,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,524891,544953,0,1071358,69316
2026-01-30 17:09:02,86,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,514532,544020,0,1060145,69999
2026-01-30 17:09:02,87,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,515151,548733,0,1064006,70353
2026-01-30 17:09:02,88,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,545817,550063,0,1096027,68440
2026-01-30 17:09:02,89,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,530803,598256,0,1129256,69356
