Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2026-01-30 17:08:44,0,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,690280,973049,807511,2472471,550307
2026-01-30 17:08:44,1,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,270167,564830,0,835872,326990
2026-01-30 17:08:44,2,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,289842,590785,0,881409,106641
2026-01-30 17:08:44,3,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,272152,560623,0,832968,104414
2026-01-30 17:08:44,4,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,275655,616095,0,892518,102173
2026-01-30 17:08:44,5,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,250031,557370,0,808785,103226
2026-01-30 17:08:44,6,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,264497,556700,0,823550,101864
2026-01-30 17:08:44,7,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,282819,561149,0,844208,134998
2026-01-30 17:08:44,8,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,280439,561007,0,841681,104203
2026-01-30 17:08:44,9,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,265929,557654,0,824108,102715
2026-01-30 17:08:44,10,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,260725,560982,0,822168,104166
2026-01-30 17:08:44,11,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,282312,561922,0,845448,104075
2026-01-30 17:08:44,12,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,273751,560002,0,834004,103115
2026-01-30 17:08:44,13,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,261746,566726,0,829665,103485
2026-01-30 17:08:44,14,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,258520,560648,0,819643,101019
2026-01-30 17:08:44,15,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,264660,601171,0,866544,101990
2026-01-30 17:08:44,16,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,263818,562903,0,828052,103480
2026-01-30 17:08:44,17,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,270802,564350,0,835435,102635
2026-01-30 17:08:44,18,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,263697,558439,0,823215,103238
2026-01-30 17:08:44,19,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,257219,559445,0,817418,102798
