Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2026-01-30 15:45:35,0,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1524158,1087644,7157146,9770385,505420
2026-01-30 15:45:35,1,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1264712,599960,0,1865015,360565
2026-01-30 15:45:35,2,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1245672,603068,0,1849283,120525
2026-01-30 15:45:35,3,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1277158,604635,0,1881952,111107
2026-01-30 15:45:35,4,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1240135,606558,0,1847012,111842
2026-01-30 15:45:35,5,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1250015,602101,0,1852518,93981
2026-01-30 15:45:35,6,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1253581,635845,0,1889565,95642
2026-01-30 15:45:35,7,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1251219,605099,0,1858408,93301
2026-01-30 15:45:35,8,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1258703,607215,0,1866387,103304
2026-01-30 15:45:35,9,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1255729,608147,0,1864881,100669
2026-01-30 15:45:35,10,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1255137,600949,0,1856215,94963
2026-01-30 15:45:35,11,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1256194,602850,0,1860362,99680
2026-01-30 15:45:35,12,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1233624,603859,0,1837627,96908
2026-01-30 15:45:35,13,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1243164,599374,0,1842679,95838
2026-01-30 15:45:35,14,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1246353,596906,0,1843402,95865
2026-01-30 15:45:35,15,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1250081,603217,0,1854406,96261
2026-01-30 15:45:35,16,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1264508,604995,0,1870005,93082
2026-01-30 15:45:35,17,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1241729,629210,0,1871746,94512
2026-01-30 15:45:35,18,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1250289,604973,0,1855366,95150
2026-01-30 15:45:35,19,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1245170,601311,0,1846588,94752
2026-01-30 15:45:35,20,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1231484,601636,0,1835230,97120
2026-01-30 15:45:35,21,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1254051,600576,0,1856073,101312
2026-01-30 15:45:35,22,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1291348,602173,0,1893628,93054
2026-01-30 15:45:35,23,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1234564,600590,0,1836343,99658
2026-01-30 15:45:35,24,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1245265,600961,0,1846334,102541
2026-01-30 15:45:35,25,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1246594,605417,0,1852761,95802
2026-01-30 15:45:35,26,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1235609,637930,0,1874809,98995
2026-01-30 15:45:35,27,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1278509,604135,0,1883438,96960
2026-01-30 15:45:35,28,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1258609,613903,0,1874123,98062
2026-01-30 15:45:35,29,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1257385,593817,0,1851429,93960
2026-01-30 15:45:35,30,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1280311,604791,0,1886146,95429
2026-01-30 15:45:35,31,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1254018,599676,0,1855100,100022
2026-01-30 15:45:35,32,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1256298,603286,0,1859724,94970
2026-01-30 15:45:35,33,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1264048,603692,0,1868113,97670
2026-01-30 15:45:35,34,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1253329,601985,0,1855877,94813
2026-01-30 15:45:35,35,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1269895,602580,0,1874021,94354
2026-01-30 15:45:35,36,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1257817,633316,0,1891475,94261
2026-01-30 15:45:35,37,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1237203,601255,0,1838607,95909
2026-01-30 15:45:35,38,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1246988,601014,0,1849178,96368
2026-01-30 15:45:36,39,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,1247628,604914,0,1852861,94436
